No,カテゴリ,心情語・慣用表現,読み,難易度,意味・ニュアンス,入試物語文での代表的な場面・文脈例,小学生がつまずきやすい点・類語との識別ポイント
197,6. 哀しみ・喪失感・後悔,失望,しつぼう,並,期待していたことが外れてがっかりし、希望を失うこと。,信頼していた指導者が、勝利のために不正を指示してきたことを知った瞬間の場面。,単なる「悲しみ」ではなく、「期待と現実の落差から生じる精神的幻滅と落胆」。
198,6. 哀しみ・喪失感・後悔,絶望,ぜつぼう,並,すべての希望が断たれ、もはや何の救いも解決策もないと感じる極限の心理。,孤立無援の雪山で通信機器が完全に故障し、吹雪の中に一人取り残された場面。,感情の極大値。「失望」の先にある「未来に対する完全な光の喪失」。
199,6. 哀しみ・喪失感・後悔,自責の念,じせきのねん,中,自分の過ちや至らなさが原因で起きた事態に対し、自らを激しく責め苛む気持ち。,自分が秘密を漏らしたせいで親友が退学に追い込まれ、一人後悔の涙に暮れる場面。,最難関校記述の最重要キーワード。「後悔」の中でも「道義的な罪の意識を自分に向ける」感情。
200,6. 哀しみ・喪失感・後悔,胸が詰まる,むねがつまる,中,深い悲しみ、苦痛、あるいは感謝や感動によって胸がいっぱいになり、声が出なくなること。,貧しい中で自分のために学費を工面してくれた親の荒れた手を見た瞬間。,身体反応。「言葉にできないほどの激しい情動の鬱積」を描写する慣用句。
201,6. 哀しみ・喪失感・後悔,嘆く,なげく,中,不幸や悲惨な出来事を深く悲しみ、ため息をついたり嘆きの声を漏らしたりすること。,長年守ってきた伝統が、時代の流れとともに失われていく現実を前に老人が嘆息する場面。,心情の言語的・身体的表出。「悲しみを外に向けて深く表現する」動作・心理。
202,6. 哀しみ・喪失感・後悔,痛ましい,いたましい,中,あまりにも気の毒で悲惨であり、見ていられないほど胸が締め付けられるさま。,災害で家を失い、冷たい体育館の片隅で身を寄せ合う被災者の姿を見つめる場面。,自己の感情ではなく、「他者の惨状に触れて湧き上がる強い同情と悲哀」を表す形容詞。
203,6. 哀しみ・喪失感・後悔,孤独感,こどくかん,並,周囲に大勢の人がいても自分を理解してくれる者がおらず、一人ぼっちだと感じる寂しさ。,賑やかな教室の中で誰とも会話が噛み合わず、世界から自分一人だけが切り離されたように感じる場面。,物理的孤立だけでなく、「集団の中での精神的孤立（疎外感）」を表現する抽象概念語。
204,6. 哀しみ・喪失感・後悔,涙に暮れる,なみだにくれる,中,深い悲しみや痛恨のために、幾日も涙を流し続けて過ごすこと。,かけがえのない肉親との死別の後、思い出の品を抱きしめたまま朝を迎える場面。,一時的な号泣ではなく、「持続的・生活全体を覆うような深い悲哀の沈潜」。
205,7. 他者への心情（羨望・嫉妬・同情・敬意など）,羨望,せんぼう,高,他人の優れた点や恵まれた境遇を、うらやましく思うこと。,誰からも好かれ、勉強もスポーツも完璧にこなす転校生を遠くから見つめる場面。,「あこがれ」に近い前向きなニュアンスを含む。「嫉妬」のような害意は薄い。
206,7. 他者への心情（羨望・嫉妬・同情・敬意など）,妬ましい,ねたましい,並,他人の長所や幸運がうらやましくて、憎らしく悔しい気持ち。,いつも自分より順位が下だった友人が、自分を追い抜いて表彰台に立った場面。,羨望の裏返しとして生じる「相手を引きずり下ろしたいようなドロドロとした敵意」。
207,7. 他者への心情（羨望・嫉妬・同情・敬意など）,嫉妬,しっと,並,自分より優れている者を妬み恨むこと。やきもち。,親友が新しくできた別の友達とばかり楽しそうに話し、自分をのけ者にする場面。,友情や愛情の独占欲から生じる反発。「ジェラシー」の文脈で頻出。
208,7. 他者への心情（羨望・嫉妬・同情・敬意など）,ほだされる,ほだされる,高,情に引きずられて、自分の意志や原則を変えてしまうこと。,厳しく断るつもりだったのに、相手が必死に頭を下げて涙を流す姿を見て許してしまう場面。,「絆される」。理屈では拒絶すべきなのに「情に流されて妥協してしまう」心理。
209,7. 他者への心情（羨望・嫉妬・同情・敬意など）,労る,いたわる,中,弱い立場の人や苦労している人を同情し、大切に優しく接すること。,泥だらけになって働いて帰ってきた母親の肩を、何も言わずに揉んであげる場面。,「甘やかす」のではなく、「相手の労苦を理解し、慈しみの心で報いる」能動的善意。
210,7. 他者への心情（羨望・嫉妬・同情・敬意など）,不憫,ふびん,高,かわいそうで哀れむべき様子。同情すべき境遇。,親を亡くし、小さな体で懸命に弟の面倒を見る幼子の姿を近所の人が見守る場面。,上から目線の軽蔑ではなく、「守ってあげたいという深い同情・哀憐」。
211,7. 他者への心情（羨望・嫉妬・同情・敬意など）,敬遠,けいえん,中,表面上は敬うふりをして、実際には煙たがって遠ざけること。,融通の利かない厳格な学級委員に対し、表立って逆らわずにみんなで距離を置く場面。,「嫌いだから無視する」のではなく、「当たり障りなく距離をとって関わりを避ける」大人の心理。
212,7. 他者への心情（羨望・嫉妬・同情・敬意など）,畏怖,いふ,高,大いなるものや優れた力を恐れ、同時に深く敬うこと。,圧倒的な神木の前に立ったときや、孤高の武道家の気迫に触れて息をのむ場面。,単なる恐怖（スリラー）ではなく、「神聖さや卓越した力量に対する敬意を含んだ恐怖」。
213,7. 他者への心情（羨望・嫉妬・同情・敬意など）,敬意,けいい,中,相手の人格や業績を尊び、敬う気持ち。,負けた相手の健闘を称え、審判の前に進み出て深々と礼をする場面。,精神的に自立した人物が、ライバルや他者に対して抱く清々しいリスペクト。
214,7. 他者への心情（羨望・嫉妬・同情・敬意など）,一目置く,いちもくおく,中,相手の実力が自分より優れていることを認め、敬意を払うこと。,普段はお調子者だが、プログラミングの話になると専門家並みの知識を発揮する友人を認める場面。,囲碁用語由来。「自分と同等以上であると実力を認めて一歩譲る」心理。
215,7. 他者への心情（羨望・嫉妬・同情・敬意など）,頭が下がる,あたまがさがる,中,相手の高潔な行いや努力に感心し、尊敬の念を抱くこと。,毎朝誰よりも早く登校して、一人で黙々と教室のゴミ拾いを続けている友人の姿を見る場面。,身体表現慣用句。「相手の立派さに圧倒され、心から敬服する」こと。
216,7. 他者への心情（羨望・嫉妬・同情・敬意など）,舌を巻く,したをまく,中,あまりの素晴らしさや力量にひどく感心し、驚くこと。,小学生とは思えない圧倒的なバイオリンの超絶技巧を目の当たりにする場面。,驚きと賞賛の合体表現。「呆れる」とは異なり、肯定的評価が100%。
217,7. 他者への心情（羨望・嫉妬・同情・敬意など）,白眼視する,はくがんしする,高,人を冷たい目で見ること。冷淡に扱うこと。,不祥事を起こしたグループのメンバーが、周囲の生徒たちから冷ややかに避けられる場面。,故事成語由来。「相手を軽蔑し、仲間として認めない冷たい拒絶の視線」。
218,7. 他者への心情（羨望・嫉妬・同情・敬意など）,憐憫,れんびん,高,不憫に思うこと。哀れむこと。,捨てられた子犬が雨に打たれて震えているのを見て、胸を締め付けられる場面。,「憐憫の情」。他者の苦痛や不幸に対して湧き上がる純粋な哀憐の情念。
219,7. 他者への心情（羨望・嫉妬・同情・敬意など）,慈しみ,いつくしみ,中,目下の者や弱い者を愛し、大切にする温かい心。,生まれたばかりの小さな妹を抱き上げ、壊れ物を扱うようにそっと撫でる場面。,親が子に注ぐような、あるいは強者が弱者を包み込むような無償の愛の感情。
220,7. 他者への心情（羨望・嫉妬・同情・敬意など）,気兼ね,きがね,中,他人に遠慮して、気を遣うこと。,居候している親戚の家で、夜遅くに物音を立てないよう息を潜めて生活する場面。,「遠慮」の同義語。他者の視線や迷惑を過剰に意識して自由を制限する心理。
221,7. 他者への心情（羨望・嫉妬・同情・敬意など）,疎ましい,うとましい,高,嫌で遠ざけたい気持ちである。煙たくて不快なさま。,何でも先回りして口を出してくる母親の過干渉な態度を、うるさく感じる場面。,嫌悪の感情。「親しい関係であるはずなのに、鬱陶しくて距離を置きたい」心理。
222,7. 他者への心情（羨望・嫉妬・同情・敬意など）,煙たがる,けむたがる,中,窮屈で近づきにくく思うこと。敬遠すること。,正論ばかりを突きつけてくる真面目な副部長を、部員たちが何となく避ける場面。,相手の存在が自分の後ろめたさや自由を脅かすため、「気まずくて避けたい」態度。
223,7. 他者への心情（羨望・嫉妬・同情・敬意など）,軽蔑,けいべつ,中,相手の人格や価値を低く見て、見下げて馬鹿にすること。,自分の失敗を誤魔化すために、幼い後輩に罪をなすりつけた先輩の姿を見る場面。,能力の低さではなく、「卑劣な人間性に対する強い拒絶と見下し」。
224,7. 他者への心情（羨望・嫉妬・同情・敬意など）,見くびる,みくびる,中,相手の実力を大したことがないと甘く見ること。見下げること。,「あんな小さな選手に何ができる」と高をくくっていたら、鋭いドリブルで翻弄される場面。,「侮る」「高をくくる」と同義。相手を過小評価する傲慢な心理。
225,7. 他者への心情（羨望・嫉妬・同情・敬意など）,健気,けなげ,中,幼い者や弱い者が、困難に負けず懸命に努力する様子。殊勝なさま。,入院中の母親を励まそうと、覚えたての料理を一生懸命に作る少年の場面。,人物の性質描写であると同時に、「それを見た語り手が心を打たれ愛しく思う」感情の投射。
226,7. 他者への心情（羨望・嫉妬・同情・敬意など）,いたいけ,いたいけ,高,幼くて愛らしく、いじらしい様子。守ってあげたくなるさま。,迷子になりながらも、泣かずに母親の名前を一生懸命に警察官に伝えようとする幼児の場面。,「健気」と近縁だが、より「無垢な幼さ・弱々しさとそれに対する保護本能」を強調。
227,7. 他者への心情（羨望・嫉妬・同情・敬意など）,親近感,しんきんかん,並,自分と似た点があり、親しみやすく近づきやすいと感じる気持ち。,同じ本を愛読していることを知り、無口だった転校生に対して急に心が近づく場面。,他者との距離が一気に縮まるきっかけとなるポジティブな共感感情。
228,7. 他者への心情（羨望・嫉妬・同情・敬意など）,憧憬,どうけい / しょうけい,高,あこがれること。遠く手の届かない素晴らしいものに心を惹かれること。,都会の洗練された生活や、世界で活躍する探検家の手記を読んで胸を焦がす場面。,「あこがれ」の改まった漢語表現。難関校の心情記述や随筆文の頻出語。
229,7. 他者への心情（羨望・嫉妬・同情・敬意など）,恩に着る,おんにきる,中,人から受けた親切や助けをありがたく思い、心に留めること。,絶体絶命のピンチを救ってくれた友人に、「この借りは一生忘れない」と感謝する場面。,単なる「ありがとう」ではなく、「相手の情義に報いなければならない」という重みを含む。
230,7. 他者への心情（羨望・嫉妬・同情・敬意など）,邪推,じゃすい,高,他人の言動を、悪意や下心があるのではないかと悪く推測すること。,単なる善意でノートを貸してくれた友人に対し、「恩を売る気ではないか」と疑う場面。,心の歪みから生じる誤った解釈。「うがった見方（本来の誤用文脈）」に近似。
231,7. 他者への心情（羨望・嫉妬・同情・敬意など）,畏敬の念,いけいのねん,高,大いなる存在や高潔な人格を前にして、恐れ敬い頭を下げる心。,吹雪の峰々を一人で切り拓いてきた伝説の登山家と対面し、その眼光に圧倒される場面。,最上位校の随筆・説明文・物語文で最頻出。「畏怖（恐怖寄り）」よりも「崇高な敬意」が強調される。
232,7. 他者への心情（羨望・嫉妬・同情・敬意など）,僻む,ひがむ,中,他者の幸福や成功を素直に受け止められず、自分が不当に冷遇されているとひねくれて考えること。,努力して合格した友人を祝福できず、「どうせ裕福だから家庭教師をつけていたんだ」と悪態をつく場面。,劣等感の歪んだ防衛機制。「被害者意識を伴う嫉妬やねたみ」の心理。
233,7. 他者への心情（羨望・嫉妬・同情・敬意など）,訝る,いぶかる,高,相手の態度や事態の推移を、不審だ、怪しいと疑わしく思うこと。,いつも冷淡だった継母が、急に豪華な食事を用意して笑顔で迎えてくれたことに違和感を抱く場面。,「疑う」の文語的表現。「真意が測れず釈然としない警戒感」を含む。
234,7. 他者への心情（羨望・嫉妬・同情・敬意など）,憐れむ,あわれむ,中,困窮している者や不幸な境遇の者を気の毒に思い、温かい同情や情けをかけること。,寒空の下でマッチを売る少女の凍えた手を見て、なけなしの銀貨をすべて手渡す場面。,「見下す同情」ではなく、「相手の痛みに共感し救済の手を差し伸べたい」心情。
235,7. 他者への心情（羨望・嫉妬・同情・敬意など）,愛おしい,いとおしい,中,弱者や大切な存在を心から愛しく思い、大切に守り慈しみたい気持ち。,泥だらけになって自分のために野の花を摘んできてくれた幼い妹の寝顔を見つめる場面。,単なる「好き」を超えた、「守ってあげたいという保護本能と深い慈愛の情念」。
236,7. 他者への心情（羨望・嫉妬・同情・敬意など）,微笑ましい,ほほえましい,並,見ていると思わず微笑んでしまうほど、無邪気で可愛らしく心が和むさま。,一生懸命に背伸びをして大人びた敬語を使おうとする新入生のやり取りを見守る場面。,語り手や観察者の肯定的・温かい視線を表現する。小学生がつまずきやすい情緒語。
237,7. 他者への心情（羨望・嫉妬・同情・敬意など）,蔑む,さげすむ,高,相手の人格や言動を低級なものとして、心の中で見下し侮ること。,保身のために平気で嘘をつき、他人に罪を着せる同級生の浅ましさを冷淡に見つめる場面。,「軽蔑」の和語表現。道義的・品性的な低劣さに対する精神的見下し。
238,7. 他者への心情（羨望・嫉妬・同情・敬意など）,感服する,かんぷくする,高,相手の優れた力量や高潔な行動に心から感銘を受け、敬服すること。,敗北を喫しながらも、勝者を笑顔で讃えグラウンド整備を黙々と手伝う対戦相手の主将を見る場面。,「感心する」の改まった表現。「相手の器の大きさに脱帽し敬意を抱く」大人の心理。
239,8. 喜び・安堵・充実感,胸をなでおろす,むねをなでおろす,中,心配や緊張が解けて、ほっと安心すること。,行方不明になっていた飼い猫が無傷で戻ってきたのを確認し、安堵する場面。,不安・危機が去った際の身体表現。「安心する」の典型的な言い換え。
240,8. 喜び・安堵・充実感,感無量,かんむりょう,高,深く心に染み入り、言葉で言い表せないほど胸がいっぱいになること。,幾多の困難を乗り越えて完成させた演劇の幕が下り、スタンディングオベーションを受ける場面。,「量（はかり）が無い」。喜び・哀しみ・苦労などが一気に押し寄せ、胸が満たされる境地。
241,8. 喜び・安堵・充実感,屈託のない,くったくのない,高,心に何のこだわりや心配事もなく、あっけらかんと明るい様子。,深刻に悩んでいた主人公の前に、満面の笑顔で無邪気に駆け寄ってくる少年の場面。,「屈託（くよくよ悩むこと）」がないこと。曇りのない純粋な明るさを指す。
242,8. 喜び・安堵・充実感,陶酔,とうすい,高,心を奪われてうっとりすること。心地よい気分に浸ること。,名人の奏でる幻想的なフルートの音色に包まれ、時の経つのを忘れて聴き入る場面。,「お酒に酔う」ように、「芸術や美しさに我を忘れて浸りきる」高度な精神的快感。
243,8. 喜び・安堵・充実感,まんざらでもない,まんざらでもない,高,それほど悪くはない。結構気に入って満足している様子。,「頼りになるな」とおだてられ、照れ隠しでそっぽを向きながらも嬉しさを隠せない場面。,否定形を伴う婉曲表現。「内心はかなり嬉しく、満更（全くダメ）ではない」照れの心理。
244,8. 喜び・安堵・充実感,安堵,あんど,中,気がかりなことがなくなり、ほっと安心すること。,手術が無事に成功したという医師の言葉を聞き、家族全員の強張っていた表情が緩む場面。,単なる平穏ではなく、「恐怖や不安のプレッシャーから解放された安らぎ」。
245,8. 喜び・安堵・充実感,溜飲が下がる,りゅういんがさがる,高,胸のつかえが取れて、不平や不満が解消しすっとすること。,散々威張り散らしていた悪者が、正義の味方に完膚なきまで論破されたのを見る場面。,「胃液の逆流（溜飲）が収まる」ことから。「胸がすく」と同義の爽快感。
246,8. 喜び・安堵・充実感,胸がすく,むねがすく,高,心の中のわだかまりや不快な気分が一気に消え、せいせいすること。,卑劣な罠を仕掛けてきた相手に対し、正々堂々のプレーで見事な逆転劇を演じる場面。,鬱屈していた不満や悔しさが晴れ渡るような「スカッとした痛快さ」。
247,8. 喜び・安堵・充実感,胸躍る,むねおどる,中,期待や喜びで、わくわくすること。,明日から始まる無人島キャンプの計画書を広げ、冒険への期待を膨らませる場面。,未来に対するポジティブな高揚感。「胸が高鳴る」とほぼ同義。
248,8. 喜び・安堵・充実感,胸が高鳴る,むねがたかなる,並,期待や緊張、興奮のために、心臓の鼓動が速くなること。,憧れのオーケストラの指揮台に初めて立つ直前、幕の裏で深呼吸をする場面。,期待だけでなく「適度な緊張感」を含んだ前向きな興奮状態。
249,8. 喜び・安堵・充実感,欣喜雀躍,きんきじゃくやく,高,飛び上がらんばかりに大喜びすること。,奇跡的な逆転合格を知らせる通知書を手に取り、リビングで家族と飛び跳ねて抱き合う場面。,小鳥がスズメのようにピョンピョン跳ねる様。全身で爆発させる喜びの四字熟語。
250,8. 喜び・安堵・充実感,歓喜,かんき,中,非常に大喜びすること。,延長戦の末に優勝を決めた瞬間、ベンチから全員が雄叫びを上げてグラウンドに雪崩れ込む場面。,個人的な満足を超えた、「叫び出したくなるほどの極大の喜び」。
251,8. 喜び・安堵・充実感,充足感,じゅうそくかん,中,全てが満たされ、何一つ不足がないという満足な気持ち。,一日中汗を流して畑を耕し、夕暮れの心地よい疲労感の中で温かいお茶を飲む場面。,興奮的な喜びではなく、「精神的・肉体的に完全に満たされた穏やかな満足」。
252,8. 喜び・安堵・充実感,達成感,たっせいかん,並,目標や困難な事業を成し遂げたことによって得られる満足感。,何ヶ月もかけて解き進めた難解な数学の証明を、最後の行まで書き終えた瞬間。,自己の努力や挑戦の結果として得られる「やり遂げた充実の誇り」。
253,8. 喜び・安堵・充実感,晴れやか,はれやか,並,わだかまりや心配事がすっかり消え去り、心が明るく澄み渡る様子。,ずっと言えずにいた謝罪の言葉を親友に伝え、笑顔で許してもらえた後の帰り道の場面。,空模様の比喩。「胸の曇りが一切消え去った清々しい安心感と喜び」。
254,8. 喜び・安堵・充実感,ほっと息をつく,ほっといきをつく,並,緊張や警戒が解けて、深く息を吐き出すこと。安心すること。,追試をギリギリでクリアし、職員室を出た瞬間に全身の力を抜いて息を吐く場面。,身体の弛緩を伴う安堵の表現。記述で「緊張からの解放」を示すキーワード。
255,8. 喜び・安堵・充実感,肩の荷が下りる,かたのにがおりる,中,重い責任や任務を果たし終えて、心が軽くなりほっとすること。,生徒会長としての任期を全うし、次期会長への引き継ぎを無事に完了した場面。,単なる安心ではなく、「重圧や義務感から解放された身軽さ」を表す慣用句。
256,8. 喜び・安堵・充実感,喜色満面,きしょくまんめん,高,喜びの表情を顔全体にありありと浮かべること。,待ちに待っていたサンタクロースからの手紙を見つけ、満面の笑みで母親を呼ぶ場面。,「得意満面（誇り・自慢）」と異なり、純粋な「喜び」が表情に溢れる四字熟語。
257,8. 喜び・安堵・充実感,頬が緩む,ほおがゆるむ,中,嬉しさや照れくささのために、知らず知らずのうちに笑顔になること。,ぶっきらぼうな父親から「お前も少しは頼もしくなったな」と認められた場面。,意識して笑うのではなく、「無意識に喜びが顔にほころび出てしまう」描写。
258,8. 喜び・安堵・充実感,手応え,てごたえ,中,働きかけたことに対して得られる、確かな反応や成果の実感。,猛練習してきた新しい投球フォームを試し、狙い通りのコースへ鋭い直球が決まった瞬間。,成功の予感に基づく「確信と自信を含んだ喜び」。記述の因果関係で多用。
259,8. 喜び・安堵・充実感,息を吹き返す,いきをふきかえす,中,衰えかけていた気力や勢いが、再び活発に蘇ること。,絶望的な点差だったが、キャプテンの起死回生のホームランによってチーム全員の闘志が蘇る場面。,沈滞や挫折からの回復。「希望を再び見出したことによる活気の復活」。
260,8. 喜び・安堵・充実感,水を得た魚,みずをえたさかな,中,自分に合った環境を得て、生き生きと活躍する様子。,堅苦しい教室では馴染めなかった少年が、野外観察の森に入った途端に知識を披露し輝く場面。,生き生きとした充実感と躍動感を表す成語。適材適所の喜びに頻出。
261,8. 喜び・安堵・充実感,興奮を隠せない,こうふんをかくせない,並,喜びや期待による心の高まりを、平静を装おうとしても抑えきれない様子。,憧れの宇宙飛行士との対面を直前に控え、待合室でそわそわと落ち着かない場面。,感情のエネルギーが大きく、「冷静になろうと自制しても漏れ出てしまう」状態。
262,8. 喜び・安堵・充実感,冥利に尽きる,みょうりにつきる,高,その立場や境遇にある者として、これ以上の名誉や幸せはないと思うこと。,卒業生たちが立派に成長して感謝を伝えに訪れてくれた時の、老教師の感慨。,「役者冥利」「教師冥利」。その役割を全うしたことに対する究極の職業的・人生の充実感。
263,8. 喜び・安堵・充実感,幸福感,こうふくかん,並,心から幸せで満ち足りていると感じる気持ち。,家族全員で食卓を囲み、温かい手料理を食べながら笑い合っている何気ない日常の場面。,刺激的な歓喜ではなく、「日常の温もりの中に感じる静かで深い満ち足りた心」。
264,8. 喜び・安堵・充実感,心を奪われる,こころをうばわれる,中,素晴らしさや美しさにすっかり夢中になり、他のことが目に入らなくなること。,夕日に染まる雄大な富士山のパノラマを初めて山頂から見下ろした瞬間の主人公。,美・対象に対する究極の感動と陶酔。「息をのむ」「魅了される」の同義。
265,8. 喜び・安堵・充実感,ほっとする,ほっとする,並,心配や緊張が消え去り、心が軽くなって安心すること。,迷子になっていた弟が無事に警察署で保護されたと連絡を受け、張り詰めていた糸が切れる場面。,最も基本的だが記述の結びで「安堵する」と言い換えるべき重要基礎心情。
266,8. 喜び・安堵・充実感,心が躍る,こころがおどる,並,喜ばしい期待や情熱のために、胸が弾むようにわくわくすること。,初めて憧れのプロ野球選手のキャンプ見学に向かう朝、ユニフォームを着て足取り軽く歩く場面。,身体感覚を伴う喜び表現。「胸躍る」と同義。未来への前向きな高揚感。
267,8. 喜び・安堵・充実感,感慨深い,かんがいぶかい,中,過去の様々な出来事や苦労を思い起こして、胸に深く染み入る思いがすること。,廃校が決まった校舎の屋上に立ち、仲間たちと過ごした六年間を走馬灯のように振り返る場面。,単なる「嬉しい」ではなく、「苦難を乗り越えてきた歴史に対するしみじみとした情感」。
268,8. 喜び・安堵・充実感,しみじみと,しみじみと,中,感情や物事の良さが、心の奥底まで深くじっくりと染み通るさま。,激戦を終えた夜、祖父の淹れてくれた温かいお茶をすすりながら、家族のありがたさを噛みしめる場面。,派手な歓喜ではなく、「静かに心の深層で味わう持続的で穏やかな幸福感・充足感」。
269,8. 喜び・安堵・充実感,安らぐ,やすらぐ,並,心の緊張や警戒が解けて、穏やかで平穏な気持ちになること。,長い一人旅から我が家に帰還し、自分の部屋のベッドに横たわった瞬間の静けさ。,「安心」の一歩先にある、「心身が完全にリラックスして調和を取り戻した状態」。
270,8. 喜び・安堵・充実感,うきうきする,うきうきする,並,嬉しいことや楽しみな予定があり、心が浮き立つように明るく弾むさま。,明日からの修学旅行の荷造りを終え、カバンを前にして眠れずにそわそわする場面。,子どもの自然な高揚感。「有頂天（油断を伴う）」と異なり、純粋な楽しみの予感。
271,8. 喜び・安堵・充実感,じーんとする,じーんとする,並,他者の深い情愛や高潔な行いに触れ、深い感動で胸や目頭が熱くなること。,厳しかった祖母が、自分のために夜なべをして手編みのマフラーを編んでくれていたと知った場面。,身体反応（胸の熱さ・涙）を伴う感動表現。他者の真実の思いを知ったときの情動。
272,8. 喜び・安堵・充実感,誇らしげ,ほこらしげ,並,自信と誇りに満ちた様子が、表情や態度・立ち振る舞いに表れているさま。,自分で育てた大輪の朝顔を両手で大切に抱え、家族に見せようと走ってくる少年の笑顔。,人物の外見描写を通じて内面の「正当な自尊心・達成感」を表現する重要語。
